Week,startDate,endDate,SeasonType
1,10/19/2021,10/24/2021,Regular
2,10/25/2021,10/31/2021,Regular
3,11/1/2021,11/7/2021,Regular
4,11/8/2021,11/14/2021,Regular
5,11/15/2021,11/21/2021,Regular
6,11/22/2021,11/28/2021,Regular
7,11/29/2021,12/5/2021,Regular
8,12/6/2021,12/12/2021,Regular
9,12/13/2021,12/19/2021,Regular
10,12/20/2021,12/26/2021,Regular
11,12/27/2021,1/2/2022,Regular
12,1/3/2022,1/9/2022,Regular
13,1/10/2022,1/16/2022,Regular
14,1/17/2022,1/23/2022,Regular
15,1/24/2022,1/30/2022,Regular
16,1/31/2022,2/6/2022,Regular
17,2/7/2022,2/13/2022,Regular
18,2/14/2022,2/20/2022,Regular
19,2/21/2022,2/27/2022,Regular
20,2/28/2022,3/6/2022,Regular
21,3/7/2022,3/13/2022,Regular
22,3/14/2022,3/20/2022,Regular
23,3/21/2022,3/27/2022,Playoffs
24,3/28/2022,4/3/2022,Playoffs
25,4/4/2022,4/10/2022,Playoffs
